City,Date,Wkday,Outlook,TempH,TempL
平定,2017/1/24,1,多云,,-8
平定,2017/1/25,2,晴,6,-6
平定,2017/1/26,3,晴,4,-9
平定,2017/1/27,4,晴,3,-8
平定,2017/1/28,5,多云转阴,4,-7
平定,2017/1/29,6,阴转晴,-1,-11
平定,2017/1/30,0,晴,0,-9
漳州,2017/1/24,1,晴,,10
漳州,2017/1/25,2,多云转晴,20,10
漳州,2017/1/26,3,晴,19,9
漳州,2017/1/27,4,晴,22,12
漳州,2017/1/28,5,多云,21,18
漳州,2017/1/29,6,多云转小雨,23,15
漳州,2017/1/30,0,小雨转阴,20,13
阜南,2017/1/24,1,多云,,-1
阜南,2017/1/25,2,晴,10,1
阜南,2017/1/26,3,多云,12,2
阜南,2017/1/27,4,晴转多云,8,2
阜南,2017/1/28,5,阴转小雨,12,7
阜南,2017/1/29,6,小雨转雨夹雪,3,-1
阜南,2017/1/30,0,多云转阴,2,-1
萧县,2017/1/24,1,多云,,-4
萧县,2017/1/25,2,多云,8,0
萧县,2017/1/26,3,多云,12,-1
萧县,2017/1/27,4,多云,7,-1
萧县,2017/1/28,5,阴转小雨,6,0
萧县,2017/1/29,6,雨夹雪,3,-3
萧县,2017/1/30,0,多云,3,-2
涪陵,2017/1/24,1,多云,,6
涪陵,2017/1/25,2,多云,13,7
涪陵,2017/1/26,3,阴,13,9
涪陵,2017/1/27,4,阴,13,9
涪陵,2017/1/28,5,阴转小雨,14,9
涪陵,2017/1/29,6,小雨转阴,12,8
涪陵,2017/1/30,0,阴转小雨,12,6
铜仁,2017/1/24,1,阴,,4
铜仁,2017/1/25,2,多云,13,6
铜仁,2017/1/26,3,多云转小雨,15,8
铜仁,2017/1/27,4,小雨转阴,11,6
铜仁,2017/1/28,5,阴,12,8
铜仁,2017/1/29,6,阴转小雨,13,4
铜仁,2017/1/30,0,小雨,7,2
河南,2017/1/24,1,晴,,-21
河南,2017/1/25,2,晴,7,-18
河南,2017/1/26,3,晴,9,-18
河南,2017/1/27,4,多云转晴,9,-10
河南,2017/1/28,5,小雪,4,-17
河南,2017/1/29,6,多云,4,-22
河南,2017/1/30,0,多云转晴,3,-17
晋洲,2017/1/24,1,晴,,-6
晋洲,2017/1/25,2,多云,4,-4
晋洲,2017/1/26,3,晴,7,-4
晋洲,2017/1/27,4,晴,4,-5
晋洲,2017/1/28,5,多云,3,-3
晋洲,2017/1/29,6,阴,1,-5
晋洲,2017/1/30,0,多云,4,-6
平安,2017/1/24,1,雷阵雨转多云,23,
平安,2017/1/25,2,多云转晴,26,
平安,2017/1/26,3,晴,33,
平安,2017/1/27,4,多云,28,
