,FFP_DATE,LAST_TO_END,FLIGHT_COUNT,SEG_KM_SUM,LOAD_TIME,avg_discount
0,2006/11/02,1,210,580717,2014/03/31,0.9616390429999999
1,2007/02/19,7,140,293678,2014/03/31,1.25231444
2,2007/02/01,11,135,283712,2014/03/31,1.254675516
3,2008/08/22,97,23,281336,2014/03/31,1.090869565
4,2009/04/10,5,152,309928,2014/03/31,0.970657895
5,2008/02/10,79,92,294585,2014/03/31,0.967692483
6,2006/03/22,1,101,287042,2014/03/31,0.965346535
7,2010/04/09,3,73,287230,2014/03/31,0.962070222
8,2011/06/07,6,56,321489,2014/03/31,0.828478237
9,2010/07/05,15,64,375074,2014/03/31,0.7080101529999999
10,2010/11/18,22,43,262013,2014/03/31,0.988658044
11,2004/11/13,6,145,271438,2014/03/31,0.95253487
12,2006/11/23,67,29,321529,2014/03/31,0.799126984
13,2006/10/25,3,118,179514,2014/03/31,1.398381742
14,2010/02/01,2,50,270067,2014/03/31,0.9219848409999999
15,2008/03/28,65,22,234721,2014/03/31,1.0260845859999999
16,2010/07/15,7,101,172231,2014/03/31,1.3865249
17,2010/11/10,45,40,284160,2014/03/31,0.8378442429999999
18,2006/04/06,2,64,169358,2014/03/31,1.4015962640000001
19,2011/08/29,24,38,332896,2014/03/31,0.70828541
20,2008/07/30,4,106,167113,2014/03/31,1.369404116
21,2011/06/07,6,23,214590,2014/03/31,1.0616309240000001
22,2005/04/10,23,94,305250,2014/03/31,0.741803833
23,2010/04/13,74,20,222380,2014/03/31,1.004904443
24,2010/02/14,17,44,281837,2014/03/31,0.7873084440000001
25,2010/10/14,17,62,243674,2014/03/31,0.9029900190000001
26,2007/02/01,3,213,187917,2014/03/31,1.146354614
27,2005/01/15,11,74,148685,2014/03/31,1.4333644280000002
28,2006/01/07,18,101,159129,2014/03/31,1.33816985
29,2008/06/16,11,87,149254,2014/03/31,1.424714581
30,2006/04/11,2,53,144076,2014/03/31,1.469224298
31,2004/11/25,8,95,149053,2014/03/31,1.414895104
32,2005/04/11,16,131,220948,2014/03/31,0.9448842709999999
33,2006/03/20,3,95,148227,2014/03/31,1.3986401940000002
34,2006/12/01,3,47,285144,2014/03/31,0.725685618
35,2009/10/13,108,25,220389,2014/03/31,0.937899941
